Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"507.37 (499.60, 514.90)","468.10 (460.74, 475.17)","410.43 (403.72, 417.33)","384.09 (377.41, 390.91)","349.75 (343.46, 356.26)","298.31 (292.81, 304.05)","257.23 (251.82, 262.70)","252.70 (247.12, 258.27)","-50.20 (-50.82, -49.55)"
Alabama,1,"516.87 (508.36, 524.93)","485.17 (477.42, 493.18)","436.61 (429.10, 444.50)","414.45 (406.84, 422.16)","397.40 (389.49, 405.04)","352.09 (344.74, 359.36)","310.55 (303.87, 317.53)","310.59 (303.44, 317.77)","-39.91 (-40.97, -38.84)"
"Autauga County, Alabama",1001,"552.68 (521.37, 586.71)","523.12 (492.13, 551.59)","470.30 (444.14, 496.02)","437.74 (415.23, 459.66)","413.92 (393.16, 432.92)","368.83 (350.83, 387.85)","316.82 (299.06, 333.37)","316.36 (298.73, 334.72)","-42.76 (-47.26, -37.68)"
"Baldwin County, Alabama",1003,"445.67 (423.09, 467.49)","419.28 (400.00, 438.89)","379.58 (362.44, 396.83)","357.73 (342.10, 374.22)","333.18 (319.09, 347.23)","308.99 (296.42, 322.99)","279.98 (268.54, 291.74)","272.04 (260.19, 284.03)","-38.96 (-42.73, -34.94)"
"Barbour County, Alabama",1005,"515.53 (484.52, 547.21)","468.71 (443.66, 493.54)","417.73 (395.64, 440.17)","387.08 (367.47, 405.98)","364.29 (345.57, 384.22)","301.04 (283.89, 318.38)","264.63 (249.05, 280.85)","255.09 (238.51, 271.82)","-50.52 (-54.72, -45.98)"
"Bibb County, Alabama",1007,"548.69 (513.57, 584.89)","532.76 (502.47, 564.74)","484.34 (458.91, 511.22)","491.84 (467.39, 519.91)","463.34 (438.49, 488.92)","409.25 (386.63, 432.58)","374.27 (352.26, 398.64)","378.09 (353.16, 402.74)","-31.09 (-37.21, -24.74)"
"Blount County, Alabama",1009,"473.26 (445.19, 501.18)","451.88 (427.17, 474.87)","412.63 (392.46, 434.06)","399.31 (379.72, 419.29)","378.91 (360.42, 397.14)","347.79 (328.51, 366.27)","307.45 (291.00, 324.49)","307.90 (290.88, 324.10)","-34.94 (-40.33, -29.47)"
"Bullock County, Alabama",1011,"597.64 (555.84, 641.51)","554.67 (519.24, 593.32)","489.31 (459.57, 521.64)","473.94 (444.52, 504.17)","441.62 (412.91, 472.45)","391.51 (363.95, 419.49)","344.74 (319.25, 373.49)","322.56 (296.51, 350.16)","-46.03 (-51.20, -40.25)"
"Butler County, Alabama",1013,"550.37 (519.15, 581.58)","521.27 (493.19, 550.45)","480.51 (456.12, 504.77)","476.14 (451.13, 500.24)","448.95 (426.85, 472.58)","422.02 (398.50, 446.04)","377.33 (353.65, 400.78)","382.55 (357.04, 408.16)","-30.49 (-36.39, -24.17)"
"Calhoun County, Alabama",1015,"537.99 (515.77, 561.47)","499.67 (478.00, 522.44)","460.70 (440.16, 480.47)","447.25 (428.63, 464.88)","451.62 (433.02, 470.81)","414.93 (397.79, 430.78)","371.19 (354.86, 386.76)","368.25 (352.75, 385.64)","-31.55 (-35.51, -26.97)"
"Chambers County, Alabama",1017,"485.45 (459.33, 511.69)","469.38 (446.43, 495.43)","421.35 (399.95, 442.91)","415.96 (394.92, 437.61)","400.87 (380.15, 422.49)","366.22 (347.51, 386.16)","329.55 (312.85, 348.26)","326.33 (307.48, 345.66)","-32.78 (-37.71, -27.36)"
"Cherokee County, Alabama",1019,"542.97 (509.73, 575.25)","497.49 (467.68, 528.09)","442.45 (418.63, 467.93)","421.88 (398.63, 444.52)","396.95 (373.72, 418.74)","349.86 (330.23, 372.00)","300.23 (280.49, 319.86)","301.07 (281.80, 321.10)","-44.55 (-49.40, -39.34)"
"Chilton County, Alabama",1021,"547.04 (517.11, 575.77)","516.49 (489.38, 543.80)","472.86 (449.03, 495.58)","457.97 (435.09, 481.86)","442.11 (420.55, 464.43)","398.26 (378.01, 419.23)","351.97 (330.40, 370.43)","351.70 (331.24, 372.54)","-35.71 (-40.70, -30.68)"
"Choctaw County, Alabama",1023,"531.36 (500.74, 565.05)","511.74 (481.70, 538.56)","473.19 (448.17, 500.60)","466.94 (443.20, 492.09)","447.75 (422.17, 473.07)","387.24 (363.11, 411.20)","354.33 (331.51, 378.38)","356.81 (332.12, 382.48)","-32.85 (-38.47, -26.25)"
"Clarke County, Alabama",1025,"552.28 (520.39, 583.92)","514.67 (487.51, 544.62)","454.11 (431.09, 479.28)","430.28 (409.55, 454.33)","406.29 (382.34, 427.72)","361.11 (340.10, 382.87)","316.86 (299.47, 336.27)","313.40 (292.77, 334.39)","-43.25 (-47.97, -37.85)"
"Clay County, Alabama",1027,"489.58 (457.72, 524.16)","480.02 (451.67, 508.00)","450.00 (425.27, 476.45)","457.78 (432.70, 484.89)","447.89 (421.31, 475.48)","419.05 (392.84, 445.92)","379.96 (354.84, 407.74)","390.37 (362.75, 421.43)","-20.26 (-27.83, -11.90)"
"Cleburne County, Alabama",1029,"520.06 (486.91, 552.54)","505.48 (473.69, 536.25)","467.03 (442.06, 494.44)","450.34 (425.95, 476.63)","427.01 (402.95, 452.25)","400.22 (376.63, 427.60)","361.21 (337.24, 387.52)","360.18 (335.22, 385.70)","-30.74 (-36.52, -24.53)"
"Coffee County, Alabama",1031,"448.47 (421.75, 475.79)","433.52 (411.51, 458.09)","399.56 (379.15, 420.54)","394.63 (375.69, 413.80)","386.29 (366.25, 406.06)","338.77 (321.11, 356.84)","304.79 (288.16, 321.81)","310.93 (293.55, 329.27)","-30.67 (-36.53, -24.65)"
"Colbert County, Alabama",1033,"514.95 (487.80, 541.27)","500.71 (477.57, 526.01)","455.44 (433.64, 477.70)","426.78 (407.02, 448.32)","390.56 (372.95, 410.31)","348.79 (332.27, 365.23)","298.78 (283.02, 314.79)","308.32 (292.95, 324.82)","-40.13 (-44.68, -35.53)"
"Conecuh County, Alabama",1035,"533.95 (497.95, 569.82)","506.37 (474.73, 539.13)","461.99 (435.14, 490.62)","451.56 (424.91, 477.83)","439.07 (413.80, 464.06)","375.49 (352.15, 400.65)","334.88 (311.43, 358.32)","349.78 (322.32, 376.23)","-34.49 (-41.00, -27.51)"
"Coosa County, Alabama",1037,"502.43 (468.12, 535.49)","473.02 (444.02, 503.42)","426.37 (401.49, 452.62)","413.41 (388.74, 438.65)","391.76 (368.01, 417.13)","337.27 (314.71, 362.33)","296.16 (273.48, 317.99)","301.93 (277.38, 328.76)","-39.91 (-45.72, -33.25)"
"Covington County, Alabama",1039,"510.27 (481.85, 538.73)","475.07 (452.41, 498.76)","422.20 (400.88, 441.71)","421.04 (401.88, 439.67)","393.56 (375.24, 411.22)","353.37 (335.85, 370.76)","312.32 (296.35, 329.34)","318.86 (303.24, 336.25)","-37.51 (-42.33, -32.34)"
"Crenshaw County, Alabama",1041,"522.87 (488.73, 558.66)","490.60 (461.42, 520.95)","441.60 (415.08, 467.78)","420.40 (396.20, 446.06)","395.03 (370.86, 418.46)","347.32 (325.78, 368.86)","311.51 (289.83, 332.42)","313.72 (290.17, 338.08)","-40.00 (-45.72, -34.05)"
"Cullman County, Alabama",1043,"483.06 (457.80, 508.22)","460.01 (438.70, 483.08)","425.81 (405.85, 446.15)","426.23 (407.36, 445.94)","422.69 (403.86, 443.11)","378.46 (361.19, 395.98)","352.40 (335.48, 369.97)","350.97 (333.12, 368.28)","-27.34 (-32.93, -22.03)"
"Dale County, Alabama",1045,"466.10 (441.04, 492.20)","449.14 (425.84, 472.75)","403.21 (383.94, 421.83)","399.90 (381.45, 419.11)","384.54 (366.46, 402.67)","333.37 (317.25, 350.09)","298.51 (283.23, 313.60)","291.55 (275.75, 308.18)","-37.45 (-42.40, -32.54)"
"Dallas County, Alabama",1047,"503.84 (476.28, 533.21)","490.61 (465.83, 515.63)","465.11 (442.83, 488.43)","474.38 (451.45, 499.06)","455.60 (433.65, 478.94)","433.61 (412.37, 456.26)","403.33 (382.46, 424.99)","412.98 (391.08, 436.35)","-18.03 (-23.97, -11.77)"
"DeKalb County, Alabama",1049,"540.16 (515.56, 565.59)","532.32 (507.77, 559.22)","485.05 (464.73, 505.86)","456.37 (435.81, 476.76)","441.29 (421.62, 460.70)","410.60 (391.30, 429.35)","365.48 (347.01, 383.40)","354.46 (336.65, 372.61)","-34.38 (-38.86, -29.50)"
"Elmore County, Alabama",1051,"559.31 (529.30, 586.61)","515.32 (490.48, 540.58)","453.03 (430.93, 475.07)","425.79 (406.18, 445.30)","380.50 (362.81, 399.79)","322.81 (307.41, 339.04)","281.11 (265.93, 296.22)","277.36 (261.90, 292.56)","-50.41 (-53.90, -46.55)"
"Escambia County, Alabama",1053,"529.06 (502.06, 557.69)","499.78 (475.68, 525.10)","456.69 (435.27, 478.69)","440.70 (418.33, 461.31)","424.96 (403.97, 447.05)","383.26 (363.80, 403.61)","341.14 (321.88, 360.14)","350.49 (328.85, 370.36)","-33.75 (-38.50, -28.43)"
"Etowah County, Alabama",1055,"543.85 (518.76, 569.20)","522.92 (502.11, 544.14)","471.17 (450.45, 490.49)","435.46 (416.94, 455.06)","436.46 (417.85, 455.50)","396.91 (378.95, 413.93)","364.18 (348.19, 380.95)","356.71 (340.63, 374.34)","-34.41 (-38.36, -30.16)"
"Fayette County, Alabama",1057,"476.39 (447.19, 506.34)","449.73 (423.88, 475.08)","418.25 (395.44, 441.57)","413.67 (390.52, 436.03)","408.17 (382.73, 431.70)","359.12 (337.48, 380.33)","321.72 (300.26, 343.48)","326.56 (303.81, 349.97)","-31.45 (-37.72, -24.91)"
"Franklin County, Alabama",1059,"553.24 (523.91, 583.42)","528.08 (500.12, 554.93)","499.75 (475.32, 522.86)","485.89 (462.11, 508.49)","458.91 (436.29, 481.95)","405.36 (385.22, 425.94)","378.92 (358.74, 400.53)","375.76 (354.90, 400.03)","-32.08 (-37.47, -26.08)"
"Geneva County, Alabama",1061,"516.35 (484.19, 549.44)","494.67 (467.86, 522.33)","445.62 (421.25, 470.28)","435.25 (412.81, 458.71)","413.10 (391.18, 434.62)","367.73 (347.18, 389.46)","326.34 (307.47, 345.99)","330.38 (310.62, 350.47)","-36.02 (-41.11, -29.81)"
"Greene County, Alabama",1063,"535.74 (498.04, 574.80)","497.08 (465.51, 530.60)","442.19 (417.29, 468.08)","425.04 (399.02, 451.48)","400.00 (374.22, 424.08)","339.13 (316.24, 362.78)","295.08 (274.36, 316.21)","304.94 (281.44, 329.87)","-43.08 (-48.84, -36.87)"
"Hale County, Alabama",1065,"583.82 (547.99, 620.94)","548.35 (515.84, 578.01)","502.58 (475.06, 530.33)","485.96 (460.54, 511.22)","459.08 (434.45, 484.00)","414.19 (390.54, 437.24)","366.13 (343.30, 388.73)","361.32 (336.37, 386.37)","-38.11 (-43.74, -32.11)"
"Henry County, Alabama",1067,"559.40 (523.31, 597.09)","521.65 (489.13, 556.34)","454.98 (429.10, 481.79)","437.33 (412.08, 460.89)","404.86 (381.65, 429.73)","364.68 (343.11, 388.25)","311.34 (289.81, 335.15)","300.75 (279.76, 324.00)","-46.24 (-51.19, -40.83)"
"Houston County, Alabama",1069,"506.26 (480.33, 532.02)","469.14 (447.81, 491.16)","403.98 (383.77, 422.75)","403.92 (385.50, 422.57)","389.14 (372.79, 407.53)","341.69 (325.06, 358.19)","301.74 (287.28, 317.07)","300.26 (286.78, 315.61)","-40.69 (-44.87, -36.28)"
"Jackson County, Alabama",1071,"576.29 (549.19, 603.01)","550.70 (524.92, 577.63)","514.03 (490.69, 539.06)","490.28 (468.09, 511.83)","444.39 (423.90, 466.07)","398.78 (378.08, 417.61)","349.86 (332.44, 368.46)","355.90 (336.72, 374.15)","-38.24 (-42.51, -33.45)"
"Jefferson County, Alabama",1073,"487.64 (471.10, 504.76)","459.55 (444.99, 474.71)","409.58 (395.96, 423.06)","377.00 (363.99, 389.50)","371.53 (359.21, 383.76)","341.35 (331.16, 352.60)","301.11 (291.75, 311.04)","313.01 (302.12, 323.44)","-35.81 (-38.22, -33.19)"
"Lamar County, Alabama",1075,"541.52 (507.13, 580.17)","508.90 (479.57, 540.00)","459.12 (432.52, 486.65)","452.42 (428.01, 477.56)","433.67 (408.94, 459.82)","377.16 (353.39, 401.32)","326.07 (303.72, 349.83)","326.28 (303.57, 350.14)","-39.75 (-45.79, -33.54)"
"Lauderdale County, Alabama",1077,"438.63 (416.21, 461.70)","401.13 (381.40, 421.03)","363.70 (345.98, 381.05)","354.98 (337.94, 372.17)","333.41 (317.72, 349.59)","295.84 (281.71, 310.38)","262.04 (249.45, 275.37)","263.00 (250.15, 276.34)","-40.04 (-44.16, -35.87)"
"Lawrence County, Alabama",1079,"535.99 (507.04, 568.93)","526.11 (499.69, 552.83)","479.12 (455.02, 503.49)","468.33 (445.68, 490.58)","449.65 (427.29, 472.67)","393.27 (371.41, 414.61)","348.88 (329.12, 369.03)","353.66 (332.55, 373.36)","-34.02 (-39.48, -28.58)"
"Lee County, Alabama",1081,"562.70 (535.76, 591.38)","517.23 (493.84, 540.13)","455.45 (434.83, 477.74)","429.87 (409.54, 449.49)","393.24 (374.56, 412.53)","339.10 (324.00, 355.08)","282.02 (268.65, 295.28)","291.35 (277.79, 306.52)","-48.22 (-51.46, -44.59)"
"Limestone County, Alabama",1083,"561.62 (533.37, 592.02)","521.25 (496.50, 548.60)","456.79 (436.57, 479.02)","438.62 (418.41, 458.47)","408.14 (389.45, 427.94)","354.43 (337.63, 371.61)","301.09 (285.53, 316.37)","307.06 (290.71, 323.85)","-45.33 (-49.18, -41.10)"
"Lowndes County, Alabama",1085,"530.88 (495.69, 567.70)","514.93 (486.05, 548.54)","476.67 (451.17, 505.63)","479.03 (451.20, 507.60)","462.78 (436.87, 490.69)","435.57 (408.85, 462.71)","392.82 (367.12, 420.05)","399.51 (372.81, 429.84)","-24.75 (-31.80, -16.90)"
"Macon County, Alabama",1087,"537.46 (507.93, 570.28)","516.09 (488.98, 543.76)","475.86 (453.36, 500.86)","468.87 (444.51, 491.32)","453.45 (430.71, 477.29)","408.79 (386.61, 430.20)","371.47 (348.91, 392.44)","383.22 (359.31, 407.89)","-28.70 (-34.74, -22.13)"
"Madison County, Alabama",1089,"527.54 (504.98, 550.34)","478.74 (459.47, 498.31)","401.88 (385.03, 419.56)","373.50 (358.18, 389.28)","341.57 (328.08, 355.96)","275.85 (264.63, 286.47)","236.12 (226.20, 246.20)","228.24 (219.85, 237.45)","-56.74 (-58.98, -54.44)"
"Marengo County, Alabama",1091,"553.97 (524.66, 584.67)","526.71 (501.02, 554.61)","471.66 (448.88, 495.45)","462.32 (440.12, 485.74)","442.70 (420.06, 464.59)","401.31 (379.48, 425.13)","368.38 (347.83, 390.21)","371.26 (346.30, 395.39)","-32.98 (-38.60, -27.02)"
"Marion County, Alabama",1093,"465.79 (441.10, 491.29)","456.05 (432.00, 480.72)","427.88 (407.36, 450.60)","430.31 (409.31, 451.45)","420.40 (400.55, 441.03)","392.99 (372.51, 412.76)","360.38 (341.36, 381.04)","370.65 (350.44, 392.45)","-20.43 (-26.38, -13.51)"
"Marshall County, Alabama",1095,"548.18 (520.47, 576.54)","526.18 (500.47, 551.82)","478.63 (457.49, 499.21)","448.34 (429.95, 468.12)","426.52 (409.19, 447.04)","387.63 (371.57, 405.61)","338.31 (322.40, 353.92)","337.06 (321.36, 353.18)","-38.51 (-42.67, -34.12)"
"Mobile County, Alabama",1097,"529.17 (509.10, 547.99)","493.01 (475.35, 510.94)","444.28 (428.91, 460.48)","417.85 (403.58, 432.15)","420.99 (406.62, 435.13)","374.00 (361.01, 386.24)","325.41 (314.04, 337.45)","328.48 (316.60, 340.26)","-37.93 (-40.79, -34.79)"
"Monroe County, Alabama",1099,"483.01 (452.10, 514.41)","460.46 (436.57, 486.51)","409.98 (388.30, 432.27)","402.58 (381.66, 424.40)","394.05 (371.88, 416.96)","354.28 (333.90, 374.00)","328.38 (307.51, 349.95)","329.76 (308.22, 352.03)","-31.73 (-37.88, -25.59)"
"Montgomery County, Alabama",1101,"548.36 (526.00, 569.34)","479.54 (460.24, 497.44)","436.53 (419.04, 454.31)","391.68 (376.21, 407.26)","361.49 (347.55, 376.27)","311.66 (299.29, 323.65)","276.34 (264.97, 287.68)","276.23 (264.41, 287.93)","-49.63 (-52.22, -46.72)"
"Morgan County, Alabama",1103,"521.41 (499.78, 545.98)","495.82 (474.41, 518.55)","449.25 (429.71, 468.00)","424.70 (406.72, 443.13)","405.61 (389.24, 423.12)","355.79 (339.53, 372.06)","337.36 (322.34, 352.98)","320.29 (305.32, 336.18)","-38.57 (-42.39, -34.68)"
"Perry County, Alabama",1105,"450.56 (418.67, 482.13)","439.64 (411.05, 468.76)","426.04 (399.08, 452.02)","444.40 (416.37, 471.14)","447.60 (419.57, 476.19)","419.85 (387.76, 448.77)","382.03 (355.97, 409.77)","399.70 (366.27, 434.72)","-11.29 (-20.84, -1.43)"
"Pickens County, Alabama",1107,"510.68 (482.08, 540.53)","488.52 (462.36, 516.39)","444.81 (420.77, 468.02)","444.93 (421.98, 466.99)","437.38 (413.89, 461.43)","387.50 (363.88, 410.91)","341.71 (321.09, 363.98)","338.96 (317.06, 362.53)","-33.63 (-39.55, -27.63)"
"Pike County, Alabama",1109,"538.99 (509.54, 568.37)","505.92 (478.38, 531.96)","455.07 (431.29, 479.32)","455.77 (431.41, 480.30)","427.07 (403.74, 450.12)","368.70 (348.19, 391.01)","327.19 (308.25, 346.52)","322.38 (301.32, 345.58)","-40.19 (-44.72, -34.87)"
"Randolph County, Alabama",1111,"541.85 (507.96, 575.54)","527.68 (499.17, 557.21)","476.89 (449.52, 501.28)","465.04 (439.72, 489.96)","442.67 (419.86, 466.38)","388.28 (365.64, 411.63)","353.67 (332.25, 374.76)","354.06 (332.15, 378.63)","-34.66 (-39.96, -28.83)"
"Russell County, Alabama",1113,"746.17 (710.84, 782.72)","688.77 (657.35, 722.16)","575.81 (549.63, 603.41)","517.91 (495.03, 542.52)","464.88 (443.52, 486.37)","378.44 (360.42, 396.05)","319.54 (302.98, 336.80)","294.76 (278.35, 311.42)","-60.50 (-63.26, -57.43)"
"Saint Clair County, Alabama",1115,"497.45 (469.62, 526.34)","472.11 (446.10, 497.74)","436.31 (413.89, 458.19)","427.30 (406.08, 448.58)","401.89 (381.28, 421.90)","368.37 (349.44, 387.87)","330.85 (313.31, 347.87)","338.03 (319.68, 358.32)","-32.05 (-36.82, -26.72)"
"Shelby County, Alabama",1117,"524.58 (497.55, 552.65)","463.70 (439.32, 488.60)","400.74 (381.37, 421.11)","365.26 (348.15, 383.06)","326.19 (308.68, 341.81)","271.22 (259.32, 284.30)","235.12 (223.45, 246.63)","232.57 (220.71, 244.03)","-55.67 (-58.73, -52.50)"
"Sumter County, Alabama",1119,"495.10 (466.41, 525.64)","467.02 (442.48, 493.10)","424.83 (401.95, 448.98)","416.92 (394.46, 439.14)","401.77 (380.36, 425.75)","361.41 (340.40, 384.36)","324.58 (304.56, 345.46)","325.61 (302.64, 349.13)","-34.23 (-39.89, -27.76)"
"Talladega County, Alabama",1121,"549.09 (522.83, 575.70)","516.93 (492.95, 540.83)","485.63 (463.40, 507.28)","457.07 (436.32, 478.41)","429.49 (410.25, 449.34)","374.59 (356.67, 393.25)","337.37 (319.61, 354.69)","337.15 (320.32, 354.43)","-38.60 (-42.59, -34.09)"
"Tallapoosa County, Alabama",1123,"556.74 (526.14, 586.71)","532.86 (507.17, 559.28)","466.01 (443.02, 490.09)","446.76 (425.64, 469.52)","417.22 (395.85, 438.00)","377.88 (358.43, 399.06)","322.52 (305.16, 340.88)","318.12 (299.07, 337.02)","-42.86 (-47.30, -38.65)"
"Tuscaloosa County, Alabama",1125,"477.56 (456.67, 498.35)","450.02 (430.71, 469.71)","413.68 (395.98, 432.05)","397.81 (380.74, 414.31)","390.57 (374.04, 408.09)","345.73 (330.04, 360.50)","302.16 (288.68, 316.35)","305.46 (292.90, 319.15)","-36.04 (-39.66, -32.12)"
"Walker County, Alabama",1127,"513.36 (489.88, 539.11)","484.38 (462.22, 507.36)","454.94 (435.42, 475.04)","450.50 (431.15, 470.53)","445.27 (426.15, 464.99)","392.09 (374.72, 410.40)","343.86 (326.93, 360.14)","360.35 (343.67, 378.14)","-29.81 (-34.02, -24.69)"
"Washington County, Alabama",1129,"584.60 (548.61, 622.98)","554.24 (521.75, 587.18)","500.43 (473.84, 527.65)","480.15 (452.83, 505.99)","454.45 (429.19, 480.94)","389.31 (366.30, 415.00)","348.59 (324.57, 372.06)","341.06 (316.70, 364.95)","-41.66 (-47.24, -35.95)"
"Wilcox County, Alabama",1131,"505.40 (475.13, 539.82)","474.31 (445.90, 505.12)","433.06 (409.24, 459.35)","439.10 (412.60, 465.71)","416.14 (391.97, 444.37)","380.49 (355.97, 406.68)","342.43 (317.42, 369.57)","342.20 (315.77, 369.93)","-32.29 (-38.84, -24.90)"
"Winston County, Alabama",1133,"583.56 (547.02, 618.96)","544.40 (513.66, 575.31)","482.38 (455.67, 509.30)","461.31 (435.34, 486.61)","430.07 (404.53, 455.60)","368.49 (345.82, 390.95)","320.19 (299.06, 341.91)","310.49 (288.88, 332.08)","-46.79 (-51.54, -42.04)"
Alaska,2,"436.87 (417.02, 456.68)","383.95 (367.87, 400.17)","336.37 (323.58, 348.85)","315.33 (303.77, 327.54)","287.88 (277.82, 297.24)","244.18 (235.50, 252.26)","215.68 (207.90, 223.35)","217.01 (208.93, 225.04)","-50.33 (-53.22, -47.60)"
"Aleutians East Borough, Alaska",2013,"582.21 (484.53, 689.71)","465.95 (392.29, 550.81)","309.76 (265.02, 356.03)","267.94 (229.91, 308.61)","257.80 (222.42, 298.38)","195.73 (165.59, 226.69)","149.33 (124.76, 175.17)","150.59 (122.55, 181.22)","-74.13 (-79.65, -67.85)"
"Aleutians West Census Area, Alaska",2016,"582.21 (484.53, 689.71)","465.95 (392.29, 550.81)","309.76 (265.02, 356.03)","267.94 (229.91, 308.61)","257.80 (222.42, 298.38)","195.73 (165.59, 226.69)","149.33 (124.76, 175.17)","150.59 (122.55, 181.22)","-74.13 (-79.65, -67.85)"
"Anchorage Municipality, Alaska",2020,"382.10 (353.71, 412.72)","346.07 (321.62, 372.00)","306.71 (285.55, 327.90)","294.97 (275.30, 314.63)","273.15 (256.76, 290.71)","235.26 (220.48, 249.87)","211.39 (198.89, 224.40)","214.32 (201.14, 227.16)","-43.91 (-48.99, -38.51)"
"Bethel Census Area, Alaska",2050,"394.78 (342.15, 450.14)","374.27 (329.92, 422.35)","340.65 (304.62, 382.93)","326.43 (293.69, 362.73)","298.52 (267.77, 331.53)","265.87 (235.00, 295.42)","239.47 (209.63, 269.05)","241.84 (211.78, 273.21)","-38.74 (-48.37, -27.59)"
"Bristol Bay Borough, Alaska",2060,"433.67 (335.85, 551.23)","382.98 (300.16, 484.02)","279.40 (221.54, 342.12)","300.27 (239.57, 365.70)","314.12 (254.54, 385.96)","269.43 (216.54, 333.57)","234.27 (184.56, 294.21)","217.35 (166.79, 274.32)","-49.88 (-63.13, -31.85)"
"Denali Borough, Alaska",2068,"466.79 (420.22, 516.62)","412.79 (377.37, 453.94)","364.04 (335.47, 395.97)","352.77 (323.69, 384.38)","328.57 (300.37, 357.88)","272.44 (247.68, 297.53)","230.66 (208.40, 253.05)","239.30 (215.32, 264.36)","-48.74 (-54.99, -41.24)"
"Dillingham Census Area, Alaska",2070,"575.18 (502.59, 651.22)","473.25 (422.60, 523.17)","403.92 (363.32, 446.29)","377.69 (341.27, 416.99)","345.69 (313.19, 381.64)","300.94 (271.14, 333.64)","256.93 (227.92, 289.04)","260.88 (230.22, 295.34)","-54.64 (-61.23, -46.51)"
"Fairbanks North Star Borough, Alaska",2090,"472.97 (424.47, 519.92)","424.25 (391.32, 460.60)","363.40 (334.57, 393.00)","335.66 (311.48, 360.70)","300.51 (281.66, 321.38)","249.37 (233.18, 267.59)","214.60 (199.16, 229.87)","218.52 (202.99, 235.63)","-53.80 (-59.11, -47.27)"
"Haines Borough, Alaska",2100,"373.74 (315.60, 440.37)","349.79 (302.32, 401.41)","320.62 (280.29, 362.66)","314.28 (277.32, 352.12)","296.45 (262.29, 333.38)","251.09 (219.91, 282.93)","213.69 (185.12, 243.45)","211.03 (180.95, 244.17)","-43.53 (-55.08, -29.23)"
"Hoonah-Angoon Census Area, Alaska",2105,"482.90 (425.19, 542.98)","413.86 (366.42, 462.72)","348.22 (310.82, 386.43)","314.52 (282.15, 347.32)","287.38 (258.36, 317.37)","234.33 (208.52, 260.77)","195.80 (173.83, 218.09)","188.37 (164.29, 212.87)","-60.99 (-66.75, -53.86)"
"Juneau City and Borough, Alaska",2110,"379.20 (340.01, 422.88)","343.47 (312.96, 376.90)","302.82 (278.90, 327.81)","281.12 (260.66, 302.31)","249.49 (233.35, 267.49)","218.51 (204.17, 234.28)","186.96 (173.51, 202.33)","197.88 (181.49, 215.29)","-47.82 (-55.13, -40.01)"
"Kenai Peninsula Borough, Alaska",2122,"422.14 (389.87, 458.03)","377.27 (351.64, 405.47)","333.87 (313.11, 356.07)","307.71 (288.98, 326.88)","288.91 (271.98, 306.93)","241.55 (227.48, 255.78)","222.55 (209.08, 235.36)","217.64 (204.49, 230.92)","-48.44 (-53.32, -42.93)"
"Ketchikan Gateway Borough, Alaska",2130,"482.77 (437.64, 529.56)","438.16 (402.46, 476.33)","382.80 (354.28, 412.29)","358.70 (334.51, 381.82)","326.16 (306.22, 346.29)","277.94 (259.54, 296.62)","244.93 (227.79, 263.58)","244.27 (224.95, 264.63)","-49.40 (-55.84, -42.41)"
"Kodiak Island Borough, Alaska",2150,"515.17 (457.66, 580.39)","443.59 (398.31, 492.64)","377.56 (339.31, 417.78)","339.37 (309.71, 371.96)","293.07 (268.86, 320.86)","256.37 (232.30, 281.08)","209.73 (188.00, 233.21)","197.25 (176.47, 219.78)","-61.71 (-67.19, -55.22)"
"Kusilvak Census Area, Alaska",2158,"444.44 (382.77, 512.28)","410.49 (362.24, 464.40)","362.66 (324.97, 402.39)","351.66 (315.59, 389.84)","336.66 (303.44, 369.91)","290.13 (260.41, 319.44)","283.30 (251.92, 314.91)","270.84 (239.06, 301.16)","-39.06 (-48.74, -27.76)"
"Lake and Peninsula Borough, Alaska",2164,"575.18 (502.59, 651.22)","473.25 (422.60, 523.17)","403.92 (363.32, 446.29)","377.69 (341.27, 416.99)","345.69 (313.19, 381.64)","300.94 (271.14, 333.64)","256.93 (227.92, 289.04)","260.88 (230.22, 295.34)","-54.64 (-61.23, -46.51)"
"Matanuska-Susitna Borough, Alaska",2170,"400.64 (367.74, 435.87)","354.57 (329.48, 379.77)","321.75 (301.04, 343.30)","304.94 (286.54, 324.86)","281.65 (264.99, 298.04)","242.16 (228.51, 256.66)","208.99 (196.21, 221.29)","209.61 (195.97, 222.04)","-47.68 (-52.92, -42.10)"
"Nome Census Area, Alaska",2180,"475.06 (418.43, 534.41)","431.06 (386.15, 477.51)","382.79 (348.36, 419.27)","376.28 (342.94, 409.61)","361.99 (329.61, 397.33)","306.56 (278.99, 335.73)","277.02 (250.10, 305.25)","284.32 (256.02, 316.15)","-40.15 (-48.78, -29.28)"
"North Slope Borough, Alaska",2185,"631.77 (541.33, 732.98)","482.74 (422.84, 545.68)","384.48 (342.68, 431.87)","342.04 (307.39, 377.29)","303.02 (271.70, 337.71)","246.64 (220.22, 274.06)","195.02 (172.28, 217.37)","204.43 (179.04, 232.70)","-67.64 (-73.00, -60.47)"
